player;nacionalidad;position;equipo;edad;nacimiento;partidos_jugados;titular;minutes_played;noventas_jugados;goles;asistencias;goles_mas_asist;goles_sin_penal;penales_convertidos;penales_intentados;amarillas;rojas;goles_asist_sin_penal_p90;tiros;tiros_al_arco;pct_tiros_al_arco;tiros_p90;tiros_arco_p90;goles_por_tiro;goles_por_tiro_al_arco;goles_recibidos;goles_recibidos_p90;tiros_al_arco_recibidos;atajadas;pct_atajadas;partidos_ganados_gk;empatados_gk;perdidos_gk;vallas_invictas;pct_vallas_invictas;penales_recibidos_gk;penales_atajados;penales_errados_rival;doble_amarilla;faltas_cometidas;faltas_recibidas;offsides;centros;intercepciones;entradas_ganadas;penales_ganados;penales_concedidos;goles_en_contra;goles_p90;asistencias_p90;tiros_p90_calc;intercepciones_p90;entradas_p90;centros_p90;faltas_p90
Aaron Nicolás Molinas;ar ARG;MF;Defensa;26-015;2000,0;15;15;1348;15,0;3;4;7;0;3;3;3;0;0,27;19;8;42,1;1,27;0,53;0,14;0,27;;;;;;;;;;;;;;0;5;17;0;67;12;14;;;0;0,2;0,267;1,267;0,8;0,933;4,467;0,333
Aaron Quirós;ar ARG;DF;Vélez Sarsfield;24-290;2001,0;7;4;382;4,2;0;0;0;0;0;0;1;0;0,0;2;1;50,0;0,47;0,24;0,0;0,0;;;;;;;;;;;;;;0;4;1;0;2;4;2;;;0;0,0;0,0;0,476;0,952;0,476;0,476;0,952
Abiel Osorio;ar ARG;FW;Defensa;24-065;2002,0;4;3;185;2,1;0;0;0;0;0;0;0;0;0,0;3;3;100,0;1,46;1,46;0,0;0,0;;;;;;;;;;;;;;0;2;8;1;0;0;1;;;0;0,0;0,0;1,429;0,0;0,476;0,0;0,952
Adam Bareiro;py PAR;FW;Boca Juniors;30-022;1996,0;9;7;675;7,5;3;1;4;3;0;0;4;0;0,53;18;10;55,6;2,4;1,33;0,17;0,3;;;;;;;;;;;;;;0;17;15;2;2;3;8;;;0;0,4;0,133;2,4;0,4;1,067;0,267;2,267
Adolfo Gaich;ar ARG;FW;Estudiantes–LP;27-172;1999,0;11;5;481;5,3;3;2;5;3;0;0;1;0;0,94;17;5;29,4;3,18;0,94;0,18;0,6;;;;;;;;;;;;;;0;13;8;1;0;0;3;;;0;0,566;0,377;3,208;0,0;0,566;0,0;2,453
Adrián Fernández;ar ARG;MFFW;Racing Club;25-089;2001,0;12;8;620;6,9;1;1;2;1;0;0;1;1;0,29;12;4;33,3;1,74;0,58;0,08;0,25;;;;;;;;;;;;;;0;14;6;0;10;4;13;;;0;0,145;0,145;1,739;0,58;1,884;1,449;2,029
Adrián Martínez;ar ARG;FW;Racing Club;34-041;1992,0;16;15;1262;14,0;4;0;4;3;1;2;3;1;0,21;30;9;30,0;2,14;0,64;0,13;0,36;;;;;;;;;;;;;;0;24;6;9;3;2;2;;;0;0,286;0,0;2,143;0,143;0,143;0,214;1,714
Adrián Sporle;ar ARG;DF;Belgrano;31-035;1995,0;17;13;1177;13,1;0;0;0;0;0;0;3;0;0,0;5;2;40,0;0,38;0,15;0,0;0,0;;;;;;;;;;;;;;0;15;4;0;38;17;21;;;0;0,0;0,0;0,382;1,298;1,603;2,901;1,145
Adrián Sánchez;ar ARG;MF;Belgrano;27-095;1999,0;19;19;1633;18,1;0;1;1;0;0;0;4;1;0,06;3;0;0,0;0,17;0,0;0,0;;;;;;;;;;;;;;;1;25;23;0;13;32;26;;;0;0,0;0,055;0,166;1,768;1,436;0,718;1,381
Agustin Bravo;ar ARG;DF;Instituto;25-098;2001,0;2;1;107;1,2;0;0;0;0;0;0;0;0;0,0;0;0;;0,0;0,0;;;;;;;;;;;;;;;;0;0;1;0;0;2;1;;;0;0,0;0,0;0,0;1,667;0,833;0,0;0,0
